Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	R:\K\Kutichim\211221\62_Slot1-54_1_2674.d	R:\K\Kutichim\211221\62_Slot1-54_1_2714.d	R:\K\Kutichim\211221\63_Slot1-42_1_2676.d	R:\K\Kutichim\211221\63_Slot1-42_1_2716.d	R:\K\Kutichim\211221\64_Slot1-38_1_2678.d	R:\K\Kutichim\211221\64_Slot1-38_1_2718.d	R:\K\Kutichim\211221\65_Slot1-49_1_2680.d	R:\K\Kutichim\211221\65_Slot1-49_1_2720.d	R:\K\Kutichim\211221\66_Slot1-44_1_2682.d	R:\K\Kutichim\211221\66_Slot1-44_1_2722.d	R:\K\Kutichim\211221\67_Slot1-40_1_2684.d	R:\K\Kutichim\211221\67_Slot1-40_1_2724.d	R:\K\Kutichim\211221\68_Slot1-27_1_2686.d	R:\K\Kutichim\211221\68_Slot1-27_1_2726.d	R:\K\Kutichim\211221\69_Slot1-52_1_2688.d	R:\K\Kutichim\211221\69_Slot1-52_1_2728.d	R:\K\Kutichim\211221\70_Slot1-43_1_2690.d	R:\K\Kutichim\211221\70_Slot1-43_1_2730.d	R:\K\Kutichim\211221\71_Slot1-46_1_2692.d	R:\K\Kutichim\211221\71_Slot1-46_1_2732.d	R:\K\Kutichim\211221\72_Slot1-22_1_2694.d	R:\K\Kutichim\211221\72_Slot1-22_1_2734.d	R:\K\Kutichim\211221\73_Slot1-53_1_2696.d	R:\K\Kutichim\211221\73_Slot1-53_1_2736.d	R:\K\Kutichim\211221\74_Slot1-41_1_2698.d	R:\K\Kutichim\211221\74_Slot1-41_1_2738.d	R:\K\Kutichim\211221\75_Slot1-48_1_2700.d	R:\K\Kutichim\211221\75_Slot1-48_1_2740.d	R:\K\Kutichim\211221\76_Slot1-47_1_2702.d	R:\K\Kutichim\211221\76_Slot1-47_1_2742.d	R:\K\Kutichim\211221\77_Slot1-51_1_2704.d	R:\K\Kutichim\211221\77_Slot1-51_1_2744.d	R:\K\Kutichim\211221\78_Slot1-45_1_2706.d	R:\K\Kutichim\211221\78_Slot1-45_1_2746.d	R:\K\Kutichim\211221\79_Slot1-50_1_2708.d	R:\K\Kutichim\211221\79_Slot1-50_1_2748.d	R:\K\Kutichim\211221\80_Slot1-39_1_2710.d	R:\K\Kutichim\211221\80_Slot1-39_1_2750.d	R:\K\Kutichim\211221\81_Slot1-23_1_2712.d	R:\K\Kutichim\211221\81_Slot1-23_1_2752.d
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1385.76		1829.33	849.941	2489.34	3755.82			1999.91	1826.22	1877.49	2207.87	3244.47	3047.39	1276.97	1723.89	1620.58	2530.28		754.215	2372.43	1744.73	2780.8	3928.79			2675.59	2234.73	1435.59	3309.36	1467.49	1702.46	2206.1	1882.26	1456.95	1903.55	707.1	1897.17	658.205	
A1L4H1	A1L4H1	SRCRL_HUMAN	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	5729.5	1904.05	5874.36	8612.42	6380.06	2154.85	6467.97	6547.31	2192.75	2823.02	4132.48	3439.09	1550.65	1621.63	7694.14	6800.25	20060.2	22640.5	15451.7	15443.7	4666.63	3430.05	4462.46	5160.72	1757	3228	8061.4	6450.26	6772.09	4444.27	12016.2	10556.1	4403.03	6540	10694.9	10686.2	5589.82	6511.98	11268.4	12097.5
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence						552.656			794.325	882.23	550.725		1054.03	458.917							1262.91	627.019	2062.56						470.481											
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	7047.35	6021.4							7913.29	12651.4			7261.56	3539.09	8697.94	15563.4	8962.68	14721.8	7143.87	7661.46	4691.77			3386.34				2067.14	12781.7		8450.46	4101.12	15303.2			8214.14	12450	3709.23		
A2VDF0	A2VDF0	FUCM_HUMAN	FUOM	Fucose mutarotase				1395.28					595.858	313.326	709.961	2191.87	432.397	551.485	1340.75	1161.11			789.9	1045.93	323.735	641.095	537.514	798.284			737.223	572.089	599.439		855.715	598.636	858.333				1035.43	1025.06		672.648
A5A3E0;P0CG38;P0CG39;P68133	Q6S8J3;P63261;P68133;P62736;P68032;P60709;P63267;A5A3E0;P0CG38;P0CG39	ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN	ACTA1;POTEF;POTEI;POTEJ	POTE ankyrin domain family member F	3629.95	7463.4		4031.31	3435.72	7236.95	5850.69	6752.57	2583.33	3080.5	2079.32	2388.48	1213.79	2404.94	1620.65	3385.78	4325.08	7958.69	932.97	571.828	1197.4	1307.46	3456.03	3375.33	10607.6	6301.69	4133.98	2198.86	7726.7	6591.77	3413.77	5920.5	2870.15	7105.89	2760.96		5889.08	10270.3	4233.26	
A5A3E0;P0CG38;P0CG39;P68133;Q9BYX7	Q6S8J3;P63261;P68133;Q9BYX7;P68032;P60709;A5A3E0;P0CG38;P0CG39	ACTBM_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN	ACTA1;POTEF;POTEI;POTEJ;POTEKP	POTE ankyrin domain family member F	147219	87190.2	193765	296081	177272	273608	59787.3	46686.1	378630	544497	389756	306366	202839	294330	202292	370515	459393	765501	150659	200947	599443	546013	430668	454518	29547.9	28840.8	499318	315125	279551	203838	272067	369142	439393	383936	337476	204677	282441	249816	508992	531666
A5A3E0;P0CG38;P0CG39;Q9BYX7	Q6S8J3;P63261;Q9BYX7;P60709;A5A3E0;P0CG38;P0CG39	ACTBM_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN	POTEF;POTEI;POTEJ;POTEKP	POTE ankyrin domain family member F	10640.7	3759.72	29472.4	12565.9	16444.3	12531.2	1482.26	992.588	31165.6	28647.6	25617.7	33000.4	23203.7	26835.4	17396.9	24864.6	37304	44854.2	13037.9	12700.8	32266.9	30899	28155.5	30255.6	2080.71		36074.5	36873	17723	9800.98	40637.7	15525.8	17939.6	1975.94	23917.4		34507.9		48174.8	4213.08
A5A3E0;P0CG38;P68133	Q6S8J3;P63261;P68133;P62736;P68032;P60709;P63267;A5A3E0;P0CG38	ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN	ACTA1;POTEF;POTEI	POTE ankyrin domain family member F	210507	183457	321804	246328	366562	329935	510371	627510	193220	218913	201436	135792	199566	191485	157192	199567	275767	261297	144733	129811	281751	263416	275846	369895	1.51251e+06	1.50465e+06	316557	398108	284641	250203	188279	263751	271527	286810	219033	160860	316453	340298	249162	354235
A5A3E0;P68133;Q562R1;Q9BYX7	Q6S8J3;P63261;P68133;P62736;Q9BYX7;P68032;Q562R1;P60709;P63267;A5A3E0	ACTBL_HUMAN;ACTBM_HUMAN;ACTS_HUMAN;POTEF_HUMAN	ACTA1;ACTBL2;POTEF;POTEKP	POTE ankyrin domain family member F	32830.6	90087.5	4061.87	21292.8	4001.51	15031.1	9790.48	27007.2	3692.04	8726.99	2767.22	7341.27			5631.06	3621.28	23656.4	12770.3	4304.58		5138.38	1363.02	14074.9	7665.88	133326	150050	3958.1	1081.96	23235.1	13721.1	11174.9	3400.02	11897.3	6581.37	8100.61		44533.7	15065.3	24985.8	4354.23
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4217.74	1620.15	2875.55	2016.24	3684.8	5407.65		7688.97	4161.81	2983.02	2520.14	2361.78	4324.15	3756.47	4181.66	3039.97	5972.82	5289.39	2911.19		4936.97	4752.3	5585.54	4565.48			4541.54	3824.41	5357.42	6026.27	4256.2	3473.84	5322.09	6274.76	4704.08	4451.55	6552.42	6957.93	3477.02	3631.97
A6NGU5;B5MD39;P19440;P36268;Q14390	B5MD39;P19440;P36268;A6NGU5;Q14390	GGT1_HUMAN;GGT2_HUMAN;GGT3_HUMAN;GGTL2_HUMAN;GGTL3_HUMAN	GGT1;GGT2;GGT3P;GGTLC2;GGTLC3	Putative glutathione hydrolase 3 proenzyme			951.979	1414.43						971.076	1226.08	1045.23		797.461	1228.06	1218.76			4958.98	3776.65	623.792		971.483	674.916				602.392			1136.09						1099.6			
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3			1351.27	2126.11																					7864.68	5293.41				194.538			1129.73							
A6NHL2;P68366;Q9BQE3	Q71U36;A6NHL2;P68366;P68363;Q9BQE3	TBA1C_HUMAN;TBA4A_HUMAN;TBAL3_HUMAN	TUBA1C;TUBA4A;TUBAL3	Tubulin alpha chain-like 3	12553	6487.69	23730.7	14784.8	27230.3	24316.8	8523.74	6591.98	24538.1	25329.7	19923.5	19847.1	26562.9	33276.3	14776.3	15634.8	12847.3	9593.68	9566.68	8928.22	24946.1	24788.2	24646.2	30010.7	12324.7		29742.1	35993.3	14517.2	16500.7	26697.6	23940.3	19663.6	18620.6	18470	17469.6	11545.9	10661.7	8253.08	9611.4
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1					636.207				725.638				1186.57	1395.44	659.855						1189.91	1234.64	680.916	640.611						632.685										
A6NI72;P14598	A6NI72;P14598;A8MVU1	NCF1B_HUMAN;NCF1_HUMAN	NCF1;NCF1B	Putative neutrophil cytosol factor 1B			2291.92	4369.01	3376.23	3125.65			4287.8	3947.27	5963.08	6013.29	2333.67	3249.96	6075.68	4996.91	965.466		2220.88	1900.45	3506.1	1953.73	2164.03	1885.41			1611.6	3001.82	1479.79		1985.09	2539.54	3580.07	2922.69	5536.21	3938.42	2065.46	2022.98		
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15									2444.58	1717.16		1116.85	1343.27	2346.72	2468.93	2047.41	3425.45	2161.35					964.044	1211.55				698.901	2768.35			2246.7	1761.77	4287.94	4098.87	2656.21	2108.41	2400.76	1826.97	1831.52
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	781.266		1085.24		1033.07	1117.51			1742.98	965.335	2022.54	1699.66	1203.1	1666.06	1518.28	1025.84	1007.55	726.476	698.028		1748.06	1642.64	1702.41	1433.22			1197.3	665.776	1760.47	455.794	1588.72		839.581				1598.92			
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein		978.038	1509.92		518.01				1478.66		1132.58				1580.95	1335.59	1834.12	1705.94														1758.53		1781.03	2550.8	2290.08				
B0I1T2	B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig									621.797	672.21			730.248		1920.43	1172.41															779.893			721.754	918.84			893.344		
B5ME19;Q99613	Q99613;B5ME19	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	1321.55		1230.31		2411.34	3300.83			2516.57	3117.7			3988.02	5770.02	2060.81	2553.55	2420.97	1115.84	1459.42	911.785	1762.49	1543.77	2418.74	1549					4008.62	3696.43	1069.63		3937.5	3217.37	3636.15	3478.77	2733	2772.44		
E9PAV3	E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4004.33	2230.91	1435.76	697.092	2549.92	4507.26			4689.3	6496.49	525.032	443.89	2317.8	2885.94	5529.85	6628.45	7138.79	5471.05	4547.68	3247.08	3063.51	4183.85	3623.86	1558.04		1836.7	2217.15	2724.1	3429.53	4204.97	689.545		5440.59	5192.01	5470.42	5342.55	5982.09	5085.01	1440.52	955.953
E9PAV3;Q9BZK3	E9PAV3;Q9BZK3;Q13765	NACAM_HUMAN;NACP4_HUMAN	NACA;NACA4P	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1671.55	499.776			2827.45	2292.76			3746.24	3110.84			1688.21	1470.58	2612.55	2492.67	4730.63	5228.02	1751.2	1865.41	3169.97	3869.88	1668.55	2022.25			2985.77	3161.13	1597.25	1946.07			1764.19	3860.66	2635.32	2232.91	1848.85	2356.41	418.458	1209.18
G2XKQ0;P63165	P63165;G2XKQ0	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5					1996.03				1169.26		1279.6										1832.46	1208.75	1870.55											908.45						
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein					619.311				395.744	399.122	378.524		248.056	241.676							286.11		547.915				326.68				485.689		328.576	335.09	471.78				409.076	
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2845.2	5040.55	2406	1447.17					3719.91	3473.14	3742.58	3129.24	2509.79	2119.15	2698.19	3918.87	2785.85	2479.57	1809.32	3003.71	2293.87	3229.17				22628.5	2658.25	2182.77		1441.85	1766.1	1502.99	2058.57	1061.83	2275.34	2907.91	680.746		2587.5	2480.95
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal				2511.67	1637.63	2656.44			2774.44	3350.33	3514	3373.14	4718.6	4019.28	4182.99	3353.73	1911.01	2726.73	2121.54		3891.59	3452.68	3314.66	2802.97			3003.05	2580.04	1879.82	1556.83		1830.1	2739.17	3014.58	2788.99	2581.9	2167.06	2215.9		
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A									1211.82	1822.68	1243.08	1301.88	2931.49		686.172	621.215					1060.62	1829.78											1165.33							
O00148;Q13838	Q13838;O00148	DX39A_HUMAN;DX39B_HUMAN	DDX39A;DDX39B	ATP-dependent RNA helicase DDX39A	10649.4	6329.06	25044.8	14473.8	13961.6	10614	4936.18	14599.5	23403.2	25053.1	20276	27314.2	30201.8	30297.9	18090.4	21885.2	17497	18507.1	18110.8	15592.5	29082.8	35415.6	22927.4	24296	116197	93051.6	31328.5	27638.1	8935.14	7259.05	25297.8	22339.7	14854.5	21807.5	20414.2	23774.1	8596.32	6509.44	14175.6	12842.5
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	41391.1	38224.7	35089.7	33460.5	30400.9	51355.6	71692.4	91750.5	38213.9	38699.3	26443.2	24558.5	23589	27260.1	12830.1	14877	16718.2	17116.5	11095	10245.8	34085.1	30274.9	43998.6	40735	157714	158235	40477	49529.7	47228.7	62923.8	30661.3	32166.7	59533.8	59387.3	41554	50695.5	15367	21747.9	8982.94	6677.47
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase		1866.98		2109.72		2365.09			2319.41	2662.1	3396.1	1598.67	3080.35	4599.2	1525.61	2994.08	756.02		1745.01				1136.06	1182.29			1999.16		1458.9	3493.07	2531.82	1823.72	2309.54		1533.94	1074.65	1087.72	1239.84	1079	1388.49
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	12005.7	9126.39	6480.86	4262.79	7476.5	6212.3	5422.02	6480.73	6504.25	6220.2	2785.15	2430.4	9276.6	8339.9	6128.19	5854.16	7105.22	7166.34	3047.65	3500.75	9733.46	8602.12	14064.3	11311.8	14235.5	11748.6	14297.9	15421.2	9080.62	10033.4	6319.15	7007.66	4979.34	5427.63	8066.03	7989.05	4092.09	3310.54	2837.49	2950.06
O00160	O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If						2098.51			2847.42	3819.82	1457.84		1273.1		4030.06	4360.54	2882.93	2947.74	1327.9	2278.73	2940.67	2339	2128.04	1492.82			1584.92	1159.63	3145.37	3190.3	3044.91	2512.47	2441.5	2684.07	4031.98	3855.76	3726.2	4622.01		1727.15
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2622.58		2515.57		1893.61				2400.47	2383.47	2429.44	2343.06	2415.47	2037.91	2485.57	2642.13	2619	3155.27	1271.19		1467.85	1476.49	3561.83	3314.03			2112.43	1878.05	2879.89	3707.44	4285.69	1960.9	2536.03		339.94	1184.01	3142.7	3147.54		2443.94
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2738.82	5839.23	5437.88	5728.25	3273.06	4387.79	4424.68	16796.4	3903.98	3522.47	3718.74	2884.53	4165.48	2808.45	5089.19	4698.98	3926.66	3575.18	5369.72	2550.92	5861.93	4573.63	5774.43	4853.51	9954.69		4174.36	7157.38	4629.93	4044.02	3697	5237.57	3819.2	5793.02	4515.01	3769.65	3031.06	4054.17	3817.69	2499.07
O00182	O00182	LEG9_HUMAN	LGALS9	Galectin-9				3843.57		3534.53		5004.99	2027.55	1643.39	3705.92	3186.75	2357.25	2439.8	2387.05	2490.62	1024.27	1477.97	2574.99	1862.91	1987.71	2038.12	698.908	3347.97				1247.38		871.417	2735.96	3618.91	1767.23	1592.83	3402.07	2121.81	3147.46		1251.7	
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1284.12				851.746	812.708			1210.49	759.016	788.422		956.897	723.095	1081.36	737.093	652.946	643.575	312.531	572.913	851.74	965.378	502.127	459.348			833.064	786.004	769.373	1285.62	591.159	897.889	875.908	896.937	748.279	997.876	464.401	738.051	653.947	
O00187	O00187	MASP2_HUMAN	MASP2	Mannan-binding lectin serine protease 2									199.923						225.202	645.054	528.483	436.086	490.654													707.851	1019.98	1179.58	748.12	973.491			1827.36	
O00192	O00192	ARVC_HUMAN	ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome	1040.47			499.862	1988.82	1682.14			542.108	722.228			778.078	536.59	224.742				811.26		906.428	875.114	1130.89	960.346			1105.85	795.148	507.92	708.432			852.483	625.677	416.8	556.54				
O00203	Q13367;O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1					1033.01				471.242					566.709							320.934									502.206			406.785			704.143				
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	2124.06		2622.03	2899.59	2355.54	4019.27	10289.2	9231.03	2945.02	1864.67	2235.46		7545.98	6942.42	1554.4	4248.06	5392.05	6469.86	3428.08	4720.56			2175.14					1651.54	6036.43	6441.21	1564.94	2698.39	2952.25	2708.51	2852.49	3510.67	7257.71	8291.45	3589.49	3311.72
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3261.36	1406.97	4783.2	3822.91	5058.34	4819.24	6596.48	4178.79	4798.15	3341.01	4333.51	3661.26	6281.44	4700.12	4337.92	3811.41	3392.96	2421.15	2792.95	2820.68	4997.97	4761.98	5219.09	5083.59	5773		4591.65	5064.08	3343.62	3177.95	3643.3	4347.06	4084.12	3801.13	4533.1	3984.84	2295.89	2286	1560.63	2297.73
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2904.77	1695.13	3048.39	387.649	2461.8	2025.47			1520.92	2709.45	2447.13	2423.11	3139.3	4064.67	1858.96	2279.35	1983.36	1361.92	2026.04	1747.9	2529.92	3565.99	2712.4	1938.07			3554.83	4395.7	4238.27	1855.48	2244.86	2314.45	3731.63	2571	2615.76	2851.7	1334.68	2255.34	4562.67	2521.99
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1216.21	2532.06	1964.32	1684.46	5280.19				2537.98	3087.62		1415.21	1391.48		2495.25	2156.27	2048.51	1425.9	1564.89		1707.4		1218.83	1392.27		6622.77	1629.41	2129.92		1501.25	1066.13		2319.05	3516.88	1656.23	2895.35			1188.58	
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1			1715.3			1172.04			4705.89	5875.09	5243.21	6774.02	4322.26	4844.88	5498.94	4340.18	3277.87	2523.39	4745.02	3792.41	6667.45	6476.65	2432.84	2196.48			4394.48	3476.97		1014.4	2265.83	1329.52	3254.87	2053.86	2385.26	3089.21	2191.06	2538.29	3251.93	3823.11
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7178.21	6833.69	5979.41	6066.88	4582.42	7612.43	5000.08	8838.98	7594.87	5300.86	4956.63	6413.21	5014.58	2850.78	3354.17	4877.65	14383.4	14438.3	5913.06	9246.43	5449.56	5288.38	7661.65	6660.76	10748.8		7923.74	11857.1	15624.8	13178.5	8459.01	4523.85	11351.8	6982.21	6284.19	5773.96	10995.7	10956.1	5058.81	10363.9
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	713.519	641.902	939.786	798.827	1816.13	1069.52	743.547		1132.58	881.898	1160.94	655.721	1028.85	872.087	515.774	816.731	672.25	583.666	769.142	557.158	1807.92	1768.04	1074.3	1165.17	723.629		1776.66	1903.28	698.49	261.293	1126.67	1528.98	733.594	966.906	1040.61	855.322	476.249	650.668		481.862
O00291	O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	3881.46	3114.73	2016.82	1955.9	2537.01	3097.03	5766.97	2477.81	1389.11	2103.3	1567.58	2031		2674.82							3037.58	4347.82	1856.34	2748.72			2815.28	2266.8	3686.64	3991.48	3079.83	2446.93	4153.39	3785.31	3428.93	4859.29				
O00292;O75610	O75610;O00292	LFTY1_HUMAN;LFTY2_HUMAN	LEFTY1;LEFTY2	Left-right determination factor 2									597.875								3459.93	2959.63									1845.11		2459.91				1091.08				1336.17			
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	12864.5	12268.3	20255.3	15109.9	22978.5	23958.7	12089.5	21828.5	32393.4	35728.5	35025.8	31291.1	25164.8	33637.6	28259.8	29280.8	15388.3	13435.5	19251.9	20909	25352	17069.7	28651	22096.2	14215.5	20545	21260.9	21369.9	14971.4	19902.7	28809.1	21670.2	18087.9	21705.6	21448.6	23747.5	20310.9	26619.9	10150.4	11088.1
O00300	O00300	TR11B_HUMAN	TNFRSF11B	Tumor necrosis factor receptor superfamily member 11B	2429.58		5170.48	3548.44	7498.42	3104.18			2917.99	1369.22	5732.07	3134.36	2968.35	3346.25	4099.08	5098.61	1842.02	3146.25	7059.8	12032.7	4986.63	3180.34	7805.42	3332.17			2142.3	7799.13	2663.13	3325.28	4072.41	4263.04	2580.65	3230.73	3814.82	4544.57	3664.62	2702.6	4788.99	2651.41
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	1416.16	1409.52		3762.87	1063.72	2245.71			1703.77	1702.11		1237.72	1021.93	2186.84	2016.75	2136.42	3458.9	1236.73	2052.53	3732.26	1224.79	500.274					1013.09		2704.9	1522.52	2252.08		2204.94	2800.99	2650.97	1990.24	2957.43	2614.13	1012.66	1725.25
O00339	O00339	MATN2_HUMAN	MATN2	Matrilin-2	1553.71		1082.28		1735.98	934.578			2303.26	1907.37	1015.02	804.265	661.798	791.414	4402.47	3952.79	3937.86	2932.88	1698.77	1176.01	2054.55	1957.92	1241.66	1461.84			1025.97	1386.74	2702.54	2291.22	1743.66	1526.72	2744.34	2089.86	1931.14	2000.22	1650.17	1311.16	988.492	1696.96
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	8824.83	9730.45	6338.07	6999.47	3268.16	5142.49	3760.73	6607.61	5424.98	5938.95	10197.6	10610.2	4761.94	4889.04	8137.13	8508.26	4212.72	4713.39	11895.5	12752	4535.53	4451.23	4491.58	5186.09	12156.6	12951.6	5696.4	4557.02	6874.77	8428	9027.28	8180.3	5343.63	4847.09	9043.48	6966.77	7372.28	8800.13	6911.13	6550.53
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	2410.8	4488.19	3050.79	3526.27	4319.48	2657.39	1747.21		3095.78	3850.1	4092.6	4507.35	5493.52	5707	2528.44	2671.81	2129.73	1756.19	1746.46	2188.4	4042.37	4445.08	4115.58	2802.08			3230.27	3372.12	2413.07	1806.15	2903.47	2726.08	3547.78	3216.97	3415.84	3721.32	1417.69	1307.62	1916.24	1094.61
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3					1454.67	2158.39							10443	13966					1642.01	2652.36	1534.04	1625.13	6829.81	8174.52						1405.07										
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1993.97	3955.85	1776.97	2948.15	1427.34	2101.49			2096.94	2363.55	2198.23	3538.2	2834.23	2281.95	1176.87	1898.19	1095.31	1061.53	1324.37	3641.2	2187.06	2123.04	2636.38	2685.6			2146.61	2465.33	1255	1635.67	1751.46	1806.34	2170.25	1691.46	2340.37	2322.51	1470.13	1411.04	1855.84	
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1499.36		2582.98	2488.57	5093.04	2807.29			3558.33	5201.82	5272.66	5784.19	3989.61	4825.65	3825.44	3624.96	1243.31	1897.3	1768.19	2457.83	3818.66	3483.75	3257.38	4418.1			3344.74	3836.54	1278.47	1926.43	2196.93	1842.95	2568.69	3119.52	3093.83	4251.46	3133.81	2342.33	1592.38	2353.15
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin	4584.58	3400.82	536.184	4159.15	7222.09	3794.01	9836.47	13533	2982.56	2587.46	3326	3399.39	2935.03	3055.48	3578.47	3763.66	2946.22	2772.08	3927.28	4033.19	3108.44	2800.26	3530.22	3267.74	19211.4		4119.43	4265.55	5427.42	7122.16	7453.22	7998.56	6094.17	5471.9	6270.82	5060.19	4663.28	4076.66	6851.66	6962.92
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2		4543.55	3276.4	3252.44	3917.62	5076.01	5185.63	4192.28	5185.14	5221.75	4862.27	4931.85	9088.49	8470.39	4738.89	4908.42	2733.03	2574.05	5788.53	4993.12	2348.18	2246.78	4785.33	5535.43			2160.6	2362.82	3543.13	4221.14	3864.33	3634.21	3130.27	3034.66	3408.9	4054.3	6851.95	5601.97	3793.23	3306.52
O00471	O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5					1298.58	1196.11			868.101								389.581							985.301									1313.55			696.092				
O00478	O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3									542.844	835.535	822.008				826.684	777.096		967.094			614.741							1211.52			918.096	1072.57	908.711	875.414						
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4					2636.02	1957.5	2383.48				249.411	277.576	339.696	266.89	1171.45	693.08	586.187		424.65		477.523	379.11	928.048	1547.73	2523.95	2279.54		187.358		927.915				327.212		201.267	1515.2			515.695
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	2043.31		2848.27	2605.42	3823.27	4547.31	3490.18		2813.1	2994.57	1774.89	3510.57	4591.82	4571.14	2532.97	1839.24	2128.88	2103.14	2184.42	2332.05	3631.13	2470.98	4762.06	4144			3677.54	3645.92	1916.67	2346.1	2660.37	3412.69	2384.69	2848.04	2434.67	3751.64	2259.78	2529.42		4224.97
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1						1421.7			711.718						1638.46	758.79		1031.61			1293.46			899.686				754.812	970.157				377.209						771.484	
O00534	O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	1371.07	1652.16	1808.1	2402.35	2648.09	3107.95	3179.66	4168.51	2890.24	2873.15	3429.04	3255.35	2833.17	1964.18	1936.68	2043.01	1710.01	2041.94	1215.52	1213.49	3491.45	3271.97	2591.95	2245.28			2301.97	2597.24	2081.79	2311.57	3103.1	2606.72	3196.55	3548.06	2737.17	2400.21	2362.18	1670.42	1708.27	1460.84
